seed_id,semantic_pair,operator,stale_risk_tier,metric_rows,clean_label_count,min_control_ratio,median_control_ratio,max_original_spread,median_original_spread,max_original_tstat,clean_label_families,clean_horizons,arbitration_status
a7ffcore48se_0578,basis_premium_like|positioning_like,AbsDelta,high,8,0,1.0,1.4010131001098105,-7.400730822344578e-06,-3.509301016844699e-05,-0.3253184019301356,0,0,rejected
a7ffcore48se_1550,positioning_like|volatility_like,WinsorZ,medium,8,0,1.0089616642289496,1.4080666101541088,8.761693603054948e-05,4.662905555441892e-05,1.709377686347561,0,0,rejected
a7ffcore48se_0267,volatility_like|volatility_like,Delta,high,8,0,1.0,1.4315365086710232,-1.1502835477829846e-05,-6.090752082531387e-05,-0.3432899171751907,0,0,rejected
a7ffcore48se_1500,liquidity_like|price_like,Identity,medium,8,0,1.0200810037683,1.4521309500924997,3.860468451386303e-05,-8.799120913226114e-06,0.7866836097461921,0,0,rejected
a7ffcore48se_0162,liquidity_like|state_or_taxonomy,Delta,low,8,0,1.2698776359333048,1.4523933918974041,0.0001550242542892,4.664807713632458e-05,1.4110908238798858,0,0,rejected
a7ffcore48se_0547,basis_premium_like,SignedRankDelta,high,8,0,1.0,1.4591180736540705,-1.935882543737418e-05,-3.896040459140241e-05,-0.3877553255051376,0,0,rejected
a7ffcore48se_0235,price_like|volatility_like,SpreadShortLong,high,8,0,1.2361897884430704,1.4607319810635535,0.0003165727470553,5.658157611149792e-05,2.1529344312518246,0,0,rejected
a7ffcore48se_1176,funding_like|positioning_like,Delta,high,8,0,1.0658256572174412,1.4623004770684793,0.0011157830616449,0.00024572063406,5.154515446624617,0,0,rejected
a7ffcore48se_1647,basis_premium_like|positioning_like,Identity,high,8,0,1.0110792028859892,1.4696195133597856,-9.807023531591183e-06,-6.307224686450416e-05,-0.4909010620245932,0,0,rejected
a7ffcore48se_0146,liquidity_like|positioning_like,AbsDelta,medium,8,0,1.0,1.4830446315905799,0.0002622671380732,-1.9857618434208625e-05,2.075082101173097,0,0,rejected
a7ffcore48se_0254,state_or_taxonomy|volatility_like,Identity,low,8,0,1.0,1.4857061402694747,-2.522203657425267e-05,-4.3253563789372136e-05,-0.1629670081649385,0,0,rejected
a7ffcore48se_0170,liquidity_like|volatility_like,Identity,medium,8,0,1.0322260253753683,1.4859134018734488,3.585125260549706e-05,-9.944140533297071e-06,0.731978106201718,0,0,rejected
a7ffcore48se_1612,basis_premium_like,Identity,medium,8,0,1.047295235849126,1.4860546802141053,0.0025477753394105,0.00033000691527636765,16.493136887080773,0,0,rejected
a7ffcore48se_1753,price_like|volatility_like,CSRank,medium,8,0,1.0729468226350298,1.4865911351294039,0.0003051942724359,2.348244561054507e-05,2.3020831965794946,0,0,rejected
a7ffcore48se_0549,basis_premium_like,WinsorZ,high,8,0,0.9848659566899884,1.4866533994613027,-1.940099325076188e-05,-3.902634281058133e-05,-0.3889451479361591,0,0,rejected
a7ffcore48se_1610,basis_premium_like,CSRank,medium,8,0,1.047295235849126,1.4869189751402059,0.0025477753394105,0.00033000691527636765,16.493136887080773,0,0,rejected
a7ffcore48se_1768,basis_premium_like,CSRank,medium,8,0,1.047295235849126,1.4869189751402059,0.0025477753394105,0.00033000691527636765,16.493136887080773,0,0,rejected
a7ffcore48se_0255,state_or_taxonomy|volatility_like,SignedRankDelta,low,8,0,1.0,1.501111895022146,0.0002575686354143,3.447836934390507e-05,1.828628398149436,0,0,rejected
a7ffcore48se_0074,funding_like|funding_like,SignedRankDelta,medium,8,0,1.2198144251182397,1.505797959528102,0.0002261540581672,-1.7254862418395044e-05,0.9582561470679672,0,0,rejected
a7ffcore48se_0155,liquidity_like|price_like,Delta,low,8,0,0.9999044604244678,1.520700797040171,0.0001723239291519,-4.935843857044324e-05,1.0554668735266632,0,0,rejected
a7ffcore48se_0011,basis_premium_like|basis_premium_like,SignedRankDelta,low,8,0,0.9998767082385434,1.5208976370717449,0.000234565565295,-3.0392444397877448e-05,2.0036770498936898,0,0,rejected
a7ffcore48se_1465,funding_like|volatility_like,CSRank,medium,8,0,1.095564299889399,1.5210052503597775,0.0002184934064328,9.054046368952654e-05,2.1236924842571505,0,0,rejected
a7ffcore48se_0659,funding_like|volatility_like,SignedRankDelta,high,8,0,1.2775836811353658,1.532216571950232,2.5027842704025765e-05,-0.00027144961096770004,0.2418816893437455,0,0,rejected
a7ffcore48se_1793,basis_premium_like|volatility_like,Delta,high,8,0,1.035179043955125,1.5511579095494332,2.05880534071192e-05,-4.134066323213039e-05,0.6442883259746444,0,0,rejected
