derived_feature_id,production_family,base_fields,base_field_families,transform,window_hours,requires_agg_features_available_mask,feature_available_lag_bars,cross_symbol_scope,zero_fill_allowed,missing_as_signal_allowed,same_hour_execution_allowed
RollingMin_4h__agg_vwap,rolling_self_reproduction,agg_vwap,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_vwap_close_bps,rolling_self_reproduction,agg_vwap_close_bps,price_microstructure,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_8h__agg_buy_sell_vwap_spread_bps,rolling_self_reproduction,agg_buy_sell_vwap_spread_bps,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_buy_vwap,rolling_self_reproduction,agg_buy_vwap,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_close_price,rolling_self_reproduction,agg_close_price,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_close_to_open_bps,rolling_self_reproduction,agg_close_to_open_bps,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_high_price,rolling_self_reproduction,agg_high_price,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_low_price,rolling_self_reproduction,agg_low_price,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_open_price,rolling_self_reproduction,agg_open_price,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_price_range_bps,rolling_self_reproduction,agg_price_range_bps,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_price_std,rolling_self_reproduction,agg_price_std,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_8h__agg_sell_vwap,rolling_self_reproduction,agg_sell_vwap,price_microstructure,RollingMin,8,True,8,same_symbol,False,False,False
RollingMin_4h__agg_avg_trade_notional_24h,rolling_self_reproduction,agg_avg_trade_notional_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_avg_trade_notional_4h,rolling_self_reproduction,agg_avg_trade_notional_4h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_close_to_open_bps_sum_24h,rolling_self_reproduction,agg_close_to_open_bps_sum_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_close_to_open_bps_sum_4h,rolling_self_reproduction,agg_close_to_open_bps_sum_4h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_flow_accel_4h_vs_24h,rolling_self_reproduction,agg_flow_accel_4h_vs_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_flow_imbalance_notional_24h,rolling_self_reproduction,agg_flow_imbalance_notional_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_flow_imbalance_notional_4h,rolling_self_reproduction,agg_flow_imbalance_notional_4h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_large_notional_share_24h,rolling_self_reproduction,agg_large_notional_share_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_large_notional_share_4h,rolling_self_reproduction,agg_large_notional_share_4h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_large_notional_sum_24h,rolling_self_reproduction,agg_large_notional_sum_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_large_notional_sum_4h,rolling_self_reproduction,agg_large_notional_sum_4h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
RollingMin_4h__agg_notional_accel_4h_vs_24h,rolling_self_reproduction,agg_notional_accel_4h_vs_24h,rolling,RollingMin,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_avg_trade_notional_24h,rolling_self_reproduction,agg_avg_trade_notional_24h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_avg_trade_notional_4h,rolling_self_reproduction,agg_avg_trade_notional_4h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_close_to_open_bps_sum_24h,rolling_self_reproduction,agg_close_to_open_bps_sum_24h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_close_to_open_bps_sum_4h,rolling_self_reproduction,agg_close_to_open_bps_sum_4h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_flow_accel_4h_vs_24h,rolling_self_reproduction,agg_flow_accel_4h_vs_24h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_flow_imbalance_notional_24h,rolling_self_reproduction,agg_flow_imbalance_notional_24h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_flow_imbalance_notional_4h,rolling_self_reproduction,agg_flow_imbalance_notional_4h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_large_notional_share_24h,rolling_self_reproduction,agg_large_notional_share_24h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_large_notional_share_4h,rolling_self_reproduction,agg_large_notional_share_4h,rolling,TSMean,4,True,4,same_symbol,False,False,False
TSMean_4h__agg_large_notional_sum_24h,rolling_self_reproduction,agg_large_notional_sum_24h,rolling,TSMean,4,True,4,same_symbol,False,False,False
