blueprint_id,parent_subgraph_id,child_subgraph_id,arg_index,parent_expression,child_expression
a7ff55r3_2c4965dcf4811179,sg_609be66f9aae11c7,sg_e58e26c2d98fff59,0,,"Mean(taker_buy_sell_volume_ratio_mean,8)"
a7ff55r3_2c4965dcf4811179,sg_e58e26c2d98fff59,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_2c4965dcf4811179,sg_e58e26c2d98fff59,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_e67dc215ee757f9f,sg_028e224b46a5ae57,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_e67dc215ee757f9f,sg_028e224b46a5ae57,sg_4d134bc072212ace,1,,24
a7ff55r3_3fadf9519959c448,sg_26d7e126c24cb48c,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_3fadf9519959c448,sg_26d7e126c24cb48c,sg_4d134bc072212ace,1,,24
a7ff55r3_9565182809ec76cb,sg_c1b0f7df502c63b1,sg_26d7e126c24cb48c,0,,"Mean(taker_buy_sell_volume_ratio_mean,24)"
a7ff55r3_9565182809ec76cb,sg_26d7e126c24cb48c,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_9565182809ec76cb,sg_26d7e126c24cb48c,sg_4d134bc072212ace,1,,24
a7ff55r3_c10958c28b5fe198,sg_59f15f074d78fbf6,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_c10958c28b5fe198,sg_59f15f074d78fbf6,sg_c097638f92de80ba,1,,72
a7ff55r3_b903d0b3300676e7,sg_c844a658dc179dbe,sg_815094c1639d7ee0,0,,taker_buy_sell_volume_ratio_mean
a7ff55r3_b903d0b3300676e7,sg_c844a658dc179dbe,sg_c097638f92de80ba,1,,72
a7ff55r3_0d2000ebd15b7032,sg_1d81b3d17579bfd1,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_0d2000ebd15b7032,sg_1d81b3d17579bfd1,sg_1b6453892473a467,1,,4
a7ff55r3_57375f2be61d85bf,sg_505dd7322878ec95,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_57375f2be61d85bf,sg_505dd7322878ec95,sg_1b6453892473a467,1,,4
a7ff55r3_b6319e55bed865d7,sg_1e43b3b279160e11,sg_505dd7322878ec95,0,,"Mean(trade_count,4)"
a7ff55r3_b6319e55bed865d7,sg_505dd7322878ec95,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_b6319e55bed865d7,sg_505dd7322878ec95,sg_1b6453892473a467,1,,4
a7ff55r3_161b740e47dbc95e,sg_3e40148d309cb6f8,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_161b740e47dbc95e,sg_3e40148d309cb6f8,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_161c4b258dc53c01,sg_58770d2c8446e487,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_161c4b258dc53c01,sg_58770d2c8446e487,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_c7bd20c1859368fe,sg_bd8184370e264f1f,sg_58770d2c8446e487,0,,"Mean(trade_count,8)"
a7ff55r3_c7bd20c1859368fe,sg_58770d2c8446e487,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_c7bd20c1859368fe,sg_58770d2c8446e487,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_d65b88576027c583,sg_a15719f9fa742d1b,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_d65b88576027c583,sg_a15719f9fa742d1b,sg_4d134bc072212ace,1,,24
a7ff55r3_5885f0c22b156df2,sg_2ea7bb7cddb7dd7d,sg_74cf2751de3b75b6,0,,trade_count
a7ff55r3_5885f0c22b156df2,sg_2ea7bb7cddb7dd7d,sg_4d134bc072212ace,1,,24
a7ff55r3_620f368be88b1cad,sg_3e2bb8e2fd6d452e,sg_2ea7bb7cddb7dd7d,0,,"Mean(trade_count,24)"
